Date,Event Name,Venue,Location
2012-05-03,Tinariwen @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2012-05-02,New Order @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2012-04-21,Leftfield @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2012-04-12,Ultrasound @ Hoxton Square Bar & Kitchen,Hoxton Square Bar & Kitchen,"London, UK"
2012-03-08,School of Seven Bells @ The Garage,The Garage,"London, UK"
2012-02-29,Atari Teenage Riot @ The Garage,The Garage,"London, UK"
2012-02-24,Rodrigo y Gabriela @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2012-02-16,M83 @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2011-12-17,Soulwaxmas 2011 @ Soulwaxmas 2011,Soulwaxmas 2011,"London, UK"
2011-12-05,Spank Rock @ Scala,Scala,"London, UK"
2011-12-02,Alabama 3 @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2011-11-22,The Besnard Lakes @ Scala,Scala,"London, UK"
2011-11-05,Jeremy Loops @ Zula Sound Bar,Zula Sound Bar,"Cape Town, South Africa"
2011-11-02,The Early Years @ City Arts & Music Project (CAMP),City Arts & Music Project (CAMP),"London, UK"
2011-10-26,Tinariwen @ KOKO,KOKO,"London, UK"
2011-10-24,Bon Iver @ Eventim Apollo,Eventim Apollo,"London, UK"
2011-10-13,Kyla La Grange @ Hoxton Square Bar & Kitchen,Hoxton Square Bar & Kitchen,"London, UK"
2011-09-25,Emeralds @ Union Chapel,Union Chapel,"Islington, UK"
2011-09-08,Bestival 2011 @ Bestival 2011,Bestival 2011,"Isle Of Wight, UK"
2011-08-11,Standon Calling 2011 @ Standon Lordship,Standon Lordship,"Standon, UK"
2011-07-25,Apparat @ Scala,Scala,"London, UK"
2011-07-22,Roy Ayers @ Jazz Cafe,Jazz Cafe,"London, UK"
2011-07-16,Lamb @ Somerset House,Somerset House,"London, UK"
2011-07-13,The Horrors @ The 100 Club,The 100 Club,"London, UK"
2011-07-10,Aloe Blacc @ Somerset House,Somerset House,"London, UK"
2011-07-09,Rhythms Of The World 2011 @ Rhythms Of The World 2011,Rhythms Of The World 2011,"Hitchin, UK"
2011-06-21,120 Days @ Madame JoJo's,Madame JoJo's,"London, UK"
2011-06-18,London Feis 2011 @ London Feis 2011,London Feis 2011,"London, UK"
2011-06-07,…And You Will Know Us by the Trail of Dead @ The Garage,The Garage,"London, UK"
2011-05-26,Mulatu Astatke @ Jazz Cafe,Jazz Cafe,"London, UK"
2011-05-17,Spectrum @ The Lexington,The Lexington,"London, UK"
2011-05-11,The Soft Moon @ The Lexington,The Lexington,"London, UK"
2011-05-04,Brandt Brauer Frick @ Bush Hall,Bush Hall,"London, UK"
2011-04-21,Fuck Buttons @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2011-04-14,Her Name Is Calla @ Rhythm Factory,Rhythm Factory,"London, UK"
2011-04-11,José González @ Barbican Centre,Barbican Centre,"London, UK"
2011-04-05,Delphic @ KOKO,KOKO,"London, UK"
2011-04-02,Gary Numan @ Troxy,Troxy,"London, UK"
2011-03-16,Chali 2na @ Jazz Cafe,Jazz Cafe,"London, UK"
2011-03-06,Cut Copy @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2011-03-02,M.O.P. @ Jazz Cafe,Jazz Cafe,"London, UK"
2011-02-19,Crystal Castles @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2011-02-05,The Lost Chord @ The Wheelbarrow,The Wheelbarrow,"London, UK"
2011-02-03,Peter Bjorn and John @ The Old Blue Last,The Old Blue Last,"London, UK"
2011-02-02,Gang of Four @ Heaven,Heaven,"London, UK"
2010-12-13,Godspeed You! Black Emperor @ Troxy,Troxy,"London, UK"
2010-12-01,Fujiya & Miyagi @ Institute of Contemporary Arts (ICA),Institute of Contemporary Arts (ICA),"London, UK"
2010-11-27,Primal Scream @ Grand Hall Olympia,Grand Hall Olympia,"London, UK"
2010-11-15,Holy Fuck @ Electric Ballroom,Electric Ballroom,"London, UK"
2010-10-06,"O. Children @ Elgar Room, Royal Albert Hall","Elgar Room, Royal Albert Hall","London, UK"
2010-09-10,Booka Shade @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2010-08-27,LED Festival 2010 @ LED Festival 2010,LED Festival 2010,"London, UK"
2010-08-25,Klaxons @ Heaven,Heaven,"London, UK"
2010-07-24,Sundae On The Common 2010 @ Sundae On The Common 2010,Sundae On The Common 2010,"London, UK"
2010-07-24,The 1-2-3-4 Shoreditch Festival 2010 @ The 1-2-3-4 Shoreditch Festival 2010,The 1-2-3-4 Shoreditch Festival 2010,"London, UK"
2010-07-19,The Futureheads @ Roundhouse,Roundhouse,"London, UK"
2010-07-17,Underworld @ Roundhouse,Roundhouse,"London, UK"
2010-07-10,World City Music Village 2010 @ World City Music Village 2010,World City Music Village 2010,"London, UK"
2010-07-02,Wireless Festival 2010 @ Wireless Festival 2010,Wireless Festival 2010,"London, UK"
2010-06-15,Cypress Hill @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2010-06-10,The Sugarhill Gang @ The Garage,The Garage,"London, UK"
2010-06-06,Rage Against The Machine @ Finsbury Park,Finsbury Park,"London, UK"
2010-05-27,Jónsi @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2010-05-20,Noisettes @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2010-05-14,Alabama 3 @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2010-03-20,The Cuban Brothers @ KOKO,KOKO,"London, UK"
2010-03-18,Chapterhouse @ Scala,Scala,"London, UK"
2010-03-04,Errors @ Scala,Scala,"London, UK"
2010-01-29,Faze Action @ Horatia,Horatia,"London, UK"
2010-01-20,Memory Tapes @ The Luminaire,The Luminaire,"London, UK"
2010-01-19,DMC @ Jazz Cafe,Jazz Cafe,"London, UK"
2009-12-17,Pete and The Pirates @ The Luminaire,The Luminaire,"London, UK"
2009-12-05,Fever Ray @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2009-10-28,Los Campesinos! @ The Garage,The Garage,"London, UK"
2009-10-13,Spiritualized @ Royal Festival Hall,Royal Festival Hall,"London, UK"
2009-09-11,Bestival 2009 @ Bestival 2009,Bestival 2009,"Newport, UK"
2009-08-24,Gang of Four @ The Macbeth,The Macbeth,"London, UK"
2009-08-19,The Juan Maclean @ Cargo,Cargo,"London, UK"
2009-07-15,Filthy Dukes @ The Tabernacle,The Tabernacle,"London, UK"
2009-07-09,Mann Friday @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2009-06-24,Glastonbury Festival 2009 @ Worthy Farm,Worthy Farm,"Pilton, UK"
2009-06-12,2manydjs (DJ Set) @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2009-04-30,Little Boots @ KOKO,KOKO,"London, UK"
2009-04-26,Bob Dylan @ Roundhouse,Roundhouse,"London, UK"
2009-04-24,The Prodigy @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2009-02-27,Spectrum @ The Dome,The Dome,"London, UK"
2009-02-26,The Cure @ The O2,The O2,"London, UK"
2009-02-21,Glasvegas @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2009-02-12,Buraka Som Sistema @ Scala,Scala,"London, UK"
2009-02-04,12 Dirty Bullets @ Madame JoJo's,Madame JoJo's,"London, UK"
2008-12-12,Friendly Fires @ KOKO,KOKO,"London, UK"
2008-11-20,Sigur Rós @ Alexandra Palace,Alexandra Palace,"London, UK"
2008-11-15,The Presets @ Coronet Theatre,Coronet Theatre,"London, UK"
2008-11-11,Cut Copy @ KOKO,KOKO,"London, UK"
2008-10-30,The Presets @ Electric Ballroom,Electric Ballroom,"London, UK"
2008-10-23,The Mighty Boosh @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2008-10-11,Grooverider @ KOKO,KOKO,"London, UK"
2008-10-02,Gotye @ Bush Hall,Bush Hall,"London, UK"
2008-09-24,Fujiya & Miyagi @ Bush Hall,Bush Hall,"London, UK"
2008-09-15,Metallica @ The O2,The O2,"London, UK"
2008-09-13,Clark @ Cargo,Cargo,"London, UK"
2008-09-05,Bestival 2008 @ Bestival 2008,Bestival 2008,"Newport, UK"
2008-08-31,Moby @ Wembley Stadium,Wembley Stadium,"London, UK"
2008-07-18,The Music @ KOKO,KOKO,"London, UK"
2008-07-16,The Brian Jonestown Massacre @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2008-07-14,Death Cab for Cutie @ KOKO,KOKO,"London, UK"
2008-07-13,Rise Festival 2008 @ Finsbury Park,Finsbury Park,"London, UK"
2008-06-24,Radiohead @ Victoria Park,Victoria Park,"London, UK"
2008-06-23,My Bloody Valentine @ Roundhouse,Roundhouse,"London, UK"
2008-05-29,"Does It Offend You, Yeah? @ Scala",Scala,"London, UK"
2008-05-23,Public Enemy @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2008-05-17,Pendulum @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2008-04-23,The Kills @ KOKO,KOKO,"London, UK"
2008-04-18,Camden Crawl 2008 @ Camden Crawl 2008,Camden Crawl 2008,"London, UK"
2008-04-07,Midnight Juggernauts @ The End and The AKA Bar,The End and The AKA Bar,"London, UK"
2008-03-12,The Jesus and Mary Chain @ Roundhouse,Roundhouse,"London, UK"
2008-02-18,Hadouken! @ KOKO,KOKO,"London, UK"
2007-12-13,The Verve @ The O2,The O2,"London, UK"
2007-11-30,Ian Brown @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2007-11-10,The Whip @ Astoria 2,Astoria 2,"London, UK"
2007-11-07,!!! (Chk Chk Chk) @ KOKO,KOKO,"London, UK"
2007-10-20,José González @ Concorde 2,Concorde 2,"Brighton, UK"
2007-10-18,Underworld @ Roundhouse,Roundhouse,"London, UK"
2007-10-09,The Go! Team @ Astoria,Astoria,"London, UK"
2007-10-02,The Dandy Warhols @ Electric Ballroom,Electric Ballroom,"London, UK"
2007-09-07,Bestival 2007 @ Bestival 2007,Bestival 2007,"Newport, UK"
2007-08-25,Prince @ The O2,The O2,"London, UK"
2007-08-21,Findlay Brown @ Proud Camden,Proud Camden,"Camden, UK"
2007-08-11,Field Day 2007 @ Field Day 2007,Field Day 2007,"London, UK"
2007-06-20,Glastonbury Festival 2007 @ Worthy Farm,Worthy Farm,"Pilton, UK"
2007-06-14,Wireless Festival 2007 @ Wireless Festival 2007,Wireless Festival 2007,"London, UK"
2007-05-31,Chemical Brothers @ Roundhouse,Roundhouse,"London, UK"
2007-05-20,65daysofstatic @ KOKO,KOKO,"London, UK"
2007-04-19,Camden Crawl 2007 @ Camden Crawl 2007,Camden Crawl 2007,"London, UK"
2007-04-05,Digitalism @ Fabric,Fabric,"London, UK"
2007-03-25,Supergrass @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2007-03-16,Air @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2007-03-15,Arcade Fire @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2007-03-10,The Killers @ Arena Berlin,Arena Berlin,"Berlin, Germany"
2007-02-22,Klaxons @ Hammersmith Palais,Hammersmith Palais,"London, UK"
2007-02-20,…And You Will Know Us by the Trail of Dead @ KOKO,KOKO,"London, UK"
2007-02-07,Massive Attack @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2006-12-08,The Charlatans @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2006-12-01,Primal Scream @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2006-11-26,The Brian Jonestown Massacre @ Astoria,Astoria,"London, UK"
2006-11-08,Aim @ KOKO,KOKO,"London, UK"
2006-10-28,Zero 7 @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2006-09-30,Jurassic 5 @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2006-09-12,Love Is All @ King's College London Students' Union (KCLSU),King's College London Students' Union (KCLSU),"London, UK"
2006-08-04,Texas @ Newmarket Racecourses,Newmarket Racecourses,"Newmarket, UK"
2006-06-19,Toots & The Maytals @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2006-04-04,Mogwai @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2006-01-25,Richard Ashcroft @ Electric Ballroom,Electric Ballroom,"London, UK"
2005-12-12,Supergrass @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2005-12-02,Feeder @ Brighton Centre,Brighton Centre,"Brighton, UK"
2005-11-09,Sigur Rós @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2005-11-04,The Bluetones @ The Cockpit,The Cockpit,"Leeds, UK"
2005-11-02,Hard-Fi @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-10-24,The Subways @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-10-22,Four Tet @ Soul Tree,Soul Tree,"Cambridge, UK"
2005-10-18,Black Rebel Motorcycle Club @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-10-13,Brendan Benson @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-10-12,The Magic Numbers @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-10-05,Editors @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-09-01,Pixies @ Alexandra Palace,Alexandra Palace,"London, UK"
2005-08-08,Goldfrapp @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-07-28,Cambridge Folk Festival 2005 @ Cambridge Folk Festival 2005,Cambridge Folk Festival 2005,"Cambridge, UK"
2005-07-15,Mann Friday @ The Marquee,The Marquee,"London, UK"
2005-07-08,Desmond Dekker @ Parkers Piece,Parkers Piece,"Cambridge, UK"
2005-06-24,Glastonbury Festival 2005 @ Worthy Farm,Worthy Farm,"Pilton, UK"
2005-06-19,…And You Will Know Us by the Trail of Dead @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-06-04,Strawberry Fair Festival 2005 @ Strawberry Fair Festival 2005,Strawberry Fair Festival 2005,"Cambridge, UK"
2005-05-29,Embrace @ Millennium Square,Millennium Square,"Leeds, UK"
2005-05-06,Soulwax @ Fabric,Fabric,"London, UK"
2005-03-23,Alabama 3 @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2005-03-12,Doves @ Corn Exchange,Corn Exchange,"Cambridge, UK"
2004-12-18,The Killers @ Enmore Theatre,Enmore Theatre,"Newtown, Australia"
2004-12-15,Cypress Hill @ Australian National University,Australian National University,"Canberra, Australia"
2004-12-04,Homebake Festival 2004 @ Homebake Festival 2004,Homebake Festival 2004,"Sydney, Australia"
2004-12-03,PJ Harvey @ Hordern Pavilion,Hordern Pavilion,"Moore Park, Australia"
2004-11-02,Groove Armada @ The Brisbane Arena,The Brisbane Arena,"Brisbane, Australia"
2004-09-12,Lamb @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2004-08-27,Leeds Festival 2004 @ Bramham Park,Bramham Park,"Leeds, UK"
2004-08-17,Horrorpops @ The Cockpit,The Cockpit,"Leeds, UK"
2004-07-10,T In The Park 2004 @ Balado Airfield,Balado Airfield,"Kinross, UK"
2004-06-25,Glastonbury Festival 2004 @ Worthy Farm,Worthy Farm,"Pilton, UK"
2004-06-15,"Ash @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2004-06-11,"Jet @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2004-06-09,The Charlatans @ The Dome,The Dome,"Doncaster, UK"
2004-05-13,Supergrass @ Octagon Centre,Octagon Centre,"Sheffield, UK"
2004-05-01,"The Beta Band @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2004-04-16,The Duke Spirit @ The Cockpit,The Cockpit,"Leeds, UK"
2004-04-11,Scissor Sisters @ Blank Canvas,Blank Canvas,"Leeds, UK"
2004-03-27,The Complete Stone Roses @ The Cockpit,The Cockpit,"Leeds, UK"
2004-03-13,The Stands @ The Cockpit,The Cockpit,"Leeds, UK"
2004-03-06,Yo La Tengo @ West Yorkshire Playhouse,West Yorkshire Playhouse,"Leeds, UK"
2004-02-27,Stellastarr @ The Cockpit,The Cockpit,"Leeds, UK"
2004-02-20,Chikinki @ The Cockpit,The Cockpit,"Leeds, UK"
2004-02-15,Scissor Sisters @ The Cockpit,The Cockpit,"Leeds, UK"
2004-02-02,"Funeral for a Friend @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2004-01-22,"Spiritualized @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2003-12-08,Alabama 3 @ The Cockpit,The Cockpit,"Leeds, UK"
2003-11-13,Stellastarr @ The Cockpit,The Cockpit,"Leeds, UK"
2003-10-18,The Warlocks @ The Cockpit,The Cockpit,"Leeds, UK"
2003-06-29,The Rolling Stones @ Estadi Olímpic Lluís Companys,Estadi Olímpic Lluís Companys,"Barcelona, Spain"
2003-05-15,Dirty Three @ Brudenell Social Club,Brudenell Social Club,"Leeds, UK"
2003-05-08,"Electric Six @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2003-05-07,The Raveonettes @ The Cockpit,The Cockpit,"Leeds, UK"
2003-03-06,"Jurassic 5 @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2003-02-20,"Lamb @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2003-01-31,John Squire @ Leeds University Stylus,Leeds University Stylus,"Leeds, UK"
2002-12-04,Black Rebel Motorcycle Club @ Blank Canvas,Blank Canvas,"Leeds, UK"
2002-11-23,Richard Ashcroft @ Leeds University Stylus,Leeds University Stylus,"Leeds, UK"
2002-11-16,3 Colours Red @ The Cockpit,The Cockpit,"Leeds, UK"
2002-11-10,Girls Against Boys @ The Cockpit,The Cockpit,"Leeds, UK"
2002-10-22,"The Complete Stone Roses @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2002-04-26,Lando @ The Cockpit,The Cockpit,"Leeds, UK"
2002-03-11,"Groove Armada @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2001-12-08,"Faithless @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2001-12-05,Roots Manuva @ Leeds University Stylus,Leeds University Stylus,"Leeds, UK"
2001-11-04,"Mogwai @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2001-10-28,"My Vitriol @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2001-10-12,"The Charlatans @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2001-10-07,"Super Furry Animals @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2001-07-28,Global Gathering 2001 @ Global Gathering 2001,Global Gathering 2001,"Stratford-upon-avon, UK"
2001-07-25,Vex Red @ Roadmender Northampton,Roadmender Northampton,"Northampton, UK"
2001-07-14,Essential Festival 2001 @ Essential Festival 2001,Essential Festival 2001,"London, UK"
2001-06-04,Regular Fries @ Roadmender Northampton,Roadmender Northampton,"Northampton, UK"
2001-05-26,"Muse @ The Refectory, Leeds University","The Refectory, Leeds University","Leeds, UK"
2001-05-21,Cast @ The Cockpit,The Cockpit,"Leeds, UK"
2001-05-07,King Adora @ The Cockpit,The Cockpit,"Leeds, UK"
2001-05-01,"Ash @ Leeds Metropolitan University, Student Union","Leeds Metropolitan University, Student Union","Leeds, UK"
2001-04-10,Muse @ Corn Exchange,Corn Exchange,"Cambridge, UK"
2001-03-22,Gay Dad @ The Cockpit,The Cockpit,"Leeds, UK"
2001-03-18,The Rub @ The Cockpit,The Cockpit,"Leeds, UK"
2001-02-17,King Adora @ The Cockpit,The Cockpit,"Leeds, UK"
2001-02-10,My Vitriol @ The Cockpit,The Cockpit,"Leeds, UK"
2001-02-01,Mansun @ Astoria,Astoria,"London, UK"
2001-01-31,Mansun @ Roadmender Northampton,Roadmender Northampton,"Northampton, UK"
2000-12-16,Primal Scream @ Corn Exchange,Corn Exchange,"Cambridge, UK"
2000-11-03,Mansun @ De Montfort University,De Montfort University,"Leicester, UK"
2000-10-23,Four Day Hombre @ The Faversham,The Faversham,"Leeds, UK"
2000-08-25,Reading Festival 2000 @ Reading Festival 2000,Reading Festival 2000,"Reading, UK"
2000-08-13,Radio 1 One Big Sunday 2000 @ Radio 1 One Big Sunday 2000,Radio 1 One Big Sunday 2000,"Ipswich, UK"
2000-07-30,Mansun @ Corn Exchange,Corn Exchange,"Bury Saint Edmunds, UK"
2000-07-10,Beth Orton @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2000-06-22,Kittie @ Astoria 2,Astoria 2,"London, UK"
2000-06-04,Strawberry Fair Festival 2000 @ Strawberry Fair Festival 2000,Strawberry Fair Festival 2000,"Cambridge, UK"
2000-05-06,Primal Scream @ O2 Shepherd's Bush Empire,O2 Shepherd's Bush Empire,"London, UK"
2000-05-01,Eminem @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2000-04-16,Gomez @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2000-03-27,Embrace @ Hanover Grand,Hanover Grand,"London, UK"
2000-03-18,Ocean Colour Scene @ Astoria,Astoria,"London, UK"
2000-02-22,The Bluetones @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2000-01-28,Rage Against The Machine @ OVO Arena,OVO Arena,"London, UK"
2000-01-18,Bush @ Corn Exchange,Corn Exchange,"Cambridge, UK"
1999-12-07,Ian Brown @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
1999-11-03,Super Furry Animals @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
1999-10-31,Fear Factory @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
1999-10-25,Feeder @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1999-10-24,Atari Teenage Riot @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1999-10-22,Beth Orton @ O2 Guildhall,O2 Guildhall,"Southampton, UK"
1999-10-15,Feeder @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
1999-09-21,Idlewild @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1999-09-03,Public Enemy @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
1999-05-02,Super Furry Animals @ Corn Exchange,Corn Exchange,"Cambridge, UK"
1999-04-24,Feeder @ Astoria,Astoria,"London, UK"
1999-03-14,Feeder @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1999-02-03,Pitchshifter @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1999-01-22,Mansun @ Astoria,Astoria,"London, UK"
1998-11-17,Reef @ Corn Exchange,Corn Exchange,"Cambridge, UK"
1998-10-25,Therapy? @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1998-10-22,Mansun @ Corn Exchange,Corn Exchange,"Cambridge, UK"
1998-10-15,Ash @ Corn Exchange,Corn Exchange,"Cambridge, UK"
1998-09-10,Mansun @ Virgin Megastore - Marble Arch,Virgin Megastore - Marble Arch,"London, UK"
1998-07-03,Mansun @ Union Bar,Union Bar,"Maidstone, UK"
1998-03-22,Catatonia @ Corn Exchange,Corn Exchange,"Cambridge, UK"
1997-10-24,Super Furry Animals @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
1997-10-02,Mansun @ Cambridge Junction,Cambridge Junction,"Cambridge, UK"
2025-11-29,Leftfield @ Drumsheds,Drumsheds,"London, UK"
2026-03-16,David Byrne @ Eventim Apollo,Eventim Apollo,"London, UK"
2026-04-29,Mammal Hands @ Barbican Centre,Barbican Centre,"London, UK"
2026-07-03,Metallica @ London Stadium,London Stadium,"London, UK"
2026-07-05,Metallica @ London Stadium,London Stadium,"London, UK"
