Date,Event Name,Venue,Location
2021-09-05,Cross The Tracks 2021 @ Brockwell Park,Brockwell Park,"London, UK"
2021-09-03,Wide Awake Festival 2021 @ Brockwell Park,Brockwell Park,"London, UK"
2021-07-22,Standon Calling 2021 @ Standon Lordship,Standon Lordship,"Standon, UK"
2021-07-03,Two Tribes @ MOTH Club,MOTH Club,"London, UK"
2021-06-15,Thom Yorke @ Eventim Apollo,Eventim Apollo,"London, UK"
2021-05-28,Black Midi @ Hackney Church,Hackney Church,"London, UK"
2020-12-08,Teeth of the Sea @ Clapham Grand,Clapham Grand,"London, UK"
2020-11-16,James Holden @ Jazz Cafe,Jazz Cafe,"London, UK"
2020-10-15,Föllakzoid @ Electrowerkz,Electrowerkz,"London, UK"
2020-08-08,Bicep @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2020-07-23,Standon Calling 2020 @ Standon Lordship,Standon Lordship,"Standon, UK"
2020-06-05,Wide Awake Festival 2020 @ Brockwell Park,Brockwell Park,"London, UK"
2020-05-29,High Contrast @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2020-03-18,Jon Hopkins @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2020-03-10,…And You Will Know Us by the Trail of Dead @ The Dome,The Dome,"London, UK"
2020-02-29,Efterklang @ Barbican Centre,Barbican Centre,"London, UK"
2020-02-28,The Flowers of Hell @ St Pancras Old Church,St Pancras Old Church,"London, UK"
2020-02-05,Algiers @ Village Underground,Village Underground,"London, UK"
2020-01-18,Goldie @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2019-12-09,Ride @ Barbican Hall,Barbican Hall,"London, UK"
2019-11-28,Badly Drawn Boy @ 24th Floor of The Shard,24th Floor of The Shard,"London, UK"
2019-11-26,The Spirit Of Talk Talk @ Royal Festival Hall,Royal Festival Hall,"London, UK"
2019-11-01,Congo Natty @ Brixton Jamm,Brixton Jamm,"Brixton, UK"
2019-10-26,Hot Chip @ Alexandra Palace,Alexandra Palace,"London, UK"
2019-10-17,Winterfylleth @ The Lounge (Archway),The Lounge (Archway),"London, UK"
2019-09-10,Jonny Greenwood @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2019-09-05,Teeth of the Sea @ Oslo,Oslo,"London, UK"
2019-08-01,"The Flowers of Hell @ The Victoria, Dalston","The Victoria, Dalston","London, UK"
2019-06-11,Bikini Kill @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2019-05-09,The Great Escape / Alternative Escape 2019 @ The Great Escape / Alternative Escape 2019,The Great Escape / Alternative Escape 2019,"Brighton, UK"
2019-04-27,Apparat @ Barbican Centre,Barbican Centre,"London, UK"
2019-04-23,Ride @ MOTH Club,MOTH Club,"London, UK"
2019-04-10,TVAM @ Electrowerkz,Electrowerkz,"London, UK"
2019-04-04,IDLES @ Electric Ballroom,Electric Ballroom,"London, UK"
2019-02-09,Lindstrøm @ EartH,EartH,"London, UK"
2019-02-02,Alabama 3 @ Brixton Jamm,Brixton Jamm,"Brixton, UK"
2019-01-18,Our Girl @ The Lexington,The Lexington,"London, UK"
2018-12-03,Ride @ EartH,EartH,"London, UK"
2018-11-29,The Orielles @ Heaven,Heaven,"London, UK"
2018-11-20,The Holydrug Couple @ The Lexington,The Lexington,"London, UK"
2018-11-12,GoGo Penguin @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2018-11-02,Haiku Salut @ London,London,"London, UK"
2018-10-25,Our Girl @ The Garage,The Garage,"London, UK"
2018-10-20,Mew @ Barbican Centre,Barbican Centre,"London, UK"
2018-09-25,Transforma @ Barbican Centre,Barbican Centre,"London, UK"
2018-09-07,Desert Mountain Tribe @ Thousand Island,Thousand Island,"London, UK"
2018-07-26,Camp Bestival 2018 @ Lulworth Castle,Lulworth Castle,"East Lulworth, UK"
2018-07-14,Walthamstow Garden Party 2018 @ Lloyd Park,Lloyd Park,"Walthamstow, UK"
2018-07-14,Godspeed You! Black Emperor @ Barbican Centre,Barbican Centre,"London, UK"
2018-07-07,British Summer Time Festival 2018 @ Hyde Park,Hyde Park,"London, UK"
2018-06-23,My Bloody Valentine @ Royal Festival Hall,Royal Festival Hall,"London, UK"
2018-06-22,MONO @ Queen Elizabeth Hall - Southbank Centre,Queen Elizabeth Hall - Southbank Centre,"London, UK"
2018-06-22,Jónsi @ Queen Elizabeth Hall - Southbank Centre,Queen Elizabeth Hall - Southbank Centre,"London, UK"
2018-06-20,Flight of the Conchords @ The O2,The O2,"London, UK"
2018-06-15,Crystal Palace Festival 2018 @ Crystal Palace,Crystal Palace,"London, UK"
2018-06-08,Thom Yorke @ Roundhouse,Roundhouse,"London, UK"
2018-05-17,The Great Escape 2018 @ The Great Escape 2018,The Great Escape 2018,"Brighton, UK"
2018-05-14,Ólafur Arnalds @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2018-05-11,Sounds and Visions: A weekend curated by Max Richter and Yulia Mahr 2018 @ Barbican Centre,Barbican Centre,"London, UK"
2018-05-10,Pinkshinyultrablast @ The Dome,The Dome,"London, UK"
2018-04-21,Electric Child House @ The Lexington,The Lexington,"London, UK"
2018-04-07,Kyle Dixon & Michael Stein @ Barbican Centre,Barbican Centre,"London, UK"
2018-03-08,Paul Draper @ Electric Brixton,Electric Brixton,"London, UK"
2018-02-23,Nils Frahm @ Barbican Centre,Barbican Centre,"London, UK"
2018-02-16,Ride @ ULU Live at Student Central,ULU Live at Student Central,"London, UK"
2017-12-15,Mogwai @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2017-12-09,Fujiya & Miyagi @ Hoxton Square Bar & Kitchen,Hoxton Square Bar & Kitchen,"London, UK"
2017-11-11,Angèle David-Guillou @ Union Chapel,Union Chapel,"Islington, UK"
2017-11-09,Wyldest @ The Waiting Room,The Waiting Room,"Stoke Newington, UK"
2017-10-28,Pantha du Prince @ Rich Mix,Rich Mix,"London, UK"
2017-10-11,GoGo Penguin @ Barbican Centre,Barbican Centre,"London, UK"
2017-09-27,The National @ Eventim Apollo,Eventim Apollo,"London, UK"
2017-09-21,Sigur Rós @ Eventim Apollo,Eventim Apollo,"London, UK"
2017-09-15,Paul Draper @ Gorilla,Gorilla,"Manchester, UK"
2017-08-05,Visions 2017 @ Visions Festival,Visions Festival,"London, UK"
2017-07-27,Standon Calling 2017 @ Standon Calling 2017,Standon Calling 2017,"Standon, UK"
2017-07-19,Ghost Suns @ The Lexington,The Lexington,"London, UK"
2017-07-06,Mavis Staples @ Union Chapel,Union Chapel,"Islington, UK"
2017-06-12,Ride @ Village Underground,Village Underground,"London, UK"
2017-06-07,Algiers @ The Shacklewell Arms,The Shacklewell Arms,"London, UK"
2017-06-03,Field Day 2017 @ Victoria Park,Victoria Park,"London, UK"
2017-05-17,Post War Glamour Girls @ The Waiting Room,The Waiting Room,"Stoke Newington, UK"
2017-04-28,"Factory Floor @ The Science Museum, IMAX Theatre","The Science Museum, IMAX Theatre","London, UK"
2017-04-08,Soulwax @ Electric Brixton,Electric Brixton,"London, UK"
2017-04-01,Run The Jewels @ Roundhouse,Roundhouse,"London, UK"
2017-03-29,Slowdive @ The Garage,The Garage,"London, UK"
2017-03-24,Seun Kuti @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2017-03-09,Efterklang @ Barbican Centre,Barbican Centre,"London, UK"
2017-03-04,Josefin Öhrn + The Liberation @ MOTH Club,MOTH Club,"London, UK"
2017-02-28,Tycho @ Electric Brixton,Electric Brixton,"London, UK"
2017-01-28,The Fall @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2017-01-14,Plaid @ Archspace,Archspace,"London, UK"
2016-10-27,Neil Cowley @ Union Chapel,Union Chapel,"Islington, UK"
2016-10-14,Holy Fuck @ The Haunt,The Haunt,"Brighton, UK"
2016-09-29,Michael Rother @ Under The Bridge (at Chelsea Football Club),Under The Bridge (at Chelsea Football Club),"London, UK"
2016-09-24,Hospitality In The Park 2016 @ Finsbury Park,Finsbury Park,"London, UK"
2016-09-15,Mogwai @ Barbican Centre,Barbican Centre,"London, UK"
2016-09-08,Ride @ Concorde 2,Concorde 2,"Brighton, UK"
2016-08-25,Factory Floor @ Institute of Contemporary Arts (ICA),Institute of Contemporary Arts (ICA),"London, UK"
2016-08-06,Visions 2016 @ Visions 2016,Visions 2016,"London, UK"
2016-07-29,Standon Calling 2016 @ Standon Lordship,Standon Lordship,"Standon, UK"
2016-07-17,Citadel 2016 @ Victoria Park,Victoria Park,"London, UK"
2016-07-01,British Summer Time Festival 2016 @ Hyde Park,Hyde Park,"London, UK"
